timestamp,dlidar,rel_x,rel_y
1746584456.9913085,11.356331097419497,10.991045951843262,-2.8571252822875977
1746584457.1099842,11.34833181424568,10.983304023742676,-2.8551125526428223
1746584457.1935027,11.336332244255738,10.962888717651367,-2.8857407569885254
1746584457.3013875,11.34833181424568,10.983304023742676,-2.8551125526428223
1746584457.3858964,11.34633242495984,10.981369018554688,-2.854609251022339
1746584460.9858663,8.028891976610309,7.416789531707764,-3.0747909545898438
1746584461.102734,7.829943354134554,7.195654392242432,-3.0871622562408447
1746584461.1814246,7.626995470978118,6.9811601638793945,-3.07155704498291
1746584461.289801,7.406052347732188,6.732363224029541,-3.086243152618408
1746584461.3838384,7.194107461729666,6.492927551269531,-3.097914457321167
1746584465.991995,5.04804545728675,-3.893061876296997,-3.213538885116577
1746584466.0896387,5.240551601534118,-4.141926288604736,-3.210580587387085
1746584466.185425,5.465241428249166,-4.419532775878906,-3.215057373046875
1746584466.2898836,5.6478479615756765,-4.6473541259765625,-3.2094058990478516
1746584466.3835068,5.900303223483713,-4.955641746520996,-3.2023730278015137
